team_id,team_name,team_short_name,team_abbreviation,competitions,division,team_color,team_color2,team_color3,team_color4,team_color5,team_color6,team_color7,,,,team_color_alt,,team_logo,team_wordmark
NWMWgNDMlz,Memphis 901 FC,Memphis,MEM,uslc,,#0C2340,#BA0C2F,#FFFFFF,#41B6E6,#FEDB00,,,,,,,,,
NWMWg9LMlz,Detroit City FC,Detroit,DET,uslc,,#3F2021,#C99700,#FFFFFF,,,,,,,,,,,
ljqEJ7OQx0,Rio Grande Valley FC,Rio Grande Valley,RGV,uslc,,#FA4616,#010101,#FFFFFF,#0072CE,,,,,,,#8D9093,,,
kRQaeY8QKZ,Orange County SC,Orange County,OC,uslc,,#010101,#F9423A,#FFFFFF,,,,,,,,,,,
KAqBvpmqbg,Loudoun United FC,Loudoun,LDN,uslc,,#010101,#E4002B,#FFFFFF,,,,,,,,,,,
gpMOoo1Mzy,Pittsburgh Riverhounds SC,Pittsburgh,PIT,uslc,,#010101,#FFC72C,#FFFFFF,,,,,,,,,,,
eVq3rNX5WO,Hartford Athletic,Hartford,HFD,uslc,,#002D72,#009A44,#FFFFFF,#BE1E2D,,,,,,,,,,
EGMPr2yqaY,Fresno FC,Fresno,FRS,uslc,,#ABCAE9,#012169,#FFFFFF,#DAAA00,#003DA5,#40588E,,,,,#DA291C,,,
e7MzZbKMr0,FC Tulsa,Tulsa,TUL,uslc,,#BD9B60,#FFFFFF,#6ECEB2,#010101,,,,,,,#89734C,,,
9z5kAmbQA3,Rhode Island FC,Rhode Island,RI,uslc,,#0C2340,#FFA400,#FFFFFF,#59CBE8,,,,,,,,,,
9YqdojR5vJ,Colorado Springs Switchbacks FC,Colorado Springs,COS,uslc,,#009FDF,#010101,#FFFFFF,#373A36,,,,,,,,,,
7VqGZE35vW,Oakland Roots SC,Oakland,OAK,uslc,,#010101,#FFFFFF,#F9423A,#FF9E1B,#F3DD6D,#00BB7E,#62B5E5,,,,,,,
7VqGLwzQvW,El Paso Locomotive FC,El Paso,ELP,uslc,,#041E42,#69B3E7,#FFFFFF,#FFCD00,,,,,,,,,,
7vQ7x3YMD1,San Antonio FC,San Antonio,SA,uslc,,#010101,#BA0C2F,#FFFFFF, #C1C6C8,#5B6770,#7C878E,,,,,,,,
4JMAZ1D5Kg,Monterey Bay FC,Monterey Bay,MB,uslc,,#2CCCD3,#2F2951,#FFFFFF,,,,,,,,,,,
315VWlvq9x,Nashville SC (USL),Nashville,NSH,uslc,,#FFCD00,#2E1A47,#FFFFFF,,,,,,,,,,,
315VPpXQ9x,Saint Louis FC,Saint Louis,STL,uslc,,#007A33,#041E42,#FFFFFF,#A2AAAD,,,,,,,,,,
0x5gJawM7O,Austin Bold FC,Austin,ATX,uslc,,#010101,#00BAB3,#FFFFFF,#E0A526,,,,,,,,,,
0Oq6JvPq6D,San Diego Loyal SC,San Diego,SD,uslc,,#0D5257,#F68D2E,#FFFFFF,#00857D,#279989,#6BA4B8,#9ABEAA,#D45D00,#EA7600,#FFB549,,,,
0Oq6332Q6D,Sacramento Republic FC,Sacramento,SAC,uslc,,#9E2B2F,#524627,#FFFFFF,#EFDBB2,#7C2629,#B58150,,,,,,,,
0Oq62Dgq6D,New Mexico United,New Mexico,NM,uslc,,#FCE300,#010101,#FFFFFF,#75787B,,,,,,,,,,
0OlMlzRqLz,Charleston Battery,Charleston,CHS,uslc,,#010101,#FFCD00,#FFFFFF,#E4002B,#F1E6B2,#857874,,,,,,,,
Vj58dW358n,Spokane Zephyr FC,Spokane,SPK,usls,,#0095B3,#FFFFFF,#000000,,,,,,,,,,,
OlMlPegMLz,Lexington SC,Lexington,LEX,usls,,#003A0E,#00EA1F,#00FF1E,,,,,,,,,,,
KXMeG8xq64,D.C. Power FC,D.C. Power,DC,usls,,,,,,,,,,,,,,,
eV5D7zaMKn,Carolina Ascent FC,Carolina,CAR,usls,,#F79400,#FFBE10,#FFFFFF,#BD7DB6,#445CC7,#002256,,,,,,,,
a35r7yBqL6,Fort Lauderdale United FC,Fort Lauderdale,FTL,usls,,#003087,#A7E6D7,,,,,,,,,,,,
9Yqdgo95vJ,Tampa Bay Sun FC,Tampa Bay,TB,usls,,#041E42,#FBDF49,,,,,,,,,,,,
7vQ7dBYMD1,Brooklyn FC,Brooklyn,BKN,usls,,,,,,,,,,,,,,,
2vQ1y44QrA,Dallas Trinity FC,Dallas,DAL,usls,,,,,,,,,,,,,,,
